Quotazioni Immobiliari : Valori di Mercato - Semestre 2016/1 - elaborazione del 01-SET-20;;;;;;;;;;;;;;;;;;;;;
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;DescrZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;20;Abitazioni civili;OTTIMO;;8900;11800;L;29,2;35,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;20;Abitazioni civili;NORMALE;P;7300;8900;L;22,7;29;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;21;Abitazioni di tipo economico;OTTIMO;;7700;8800;L;22;30;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;21;Abitazioni di tipo economico;NORMALE;P;6400;7600;L;17,8;21;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;19;Abitazioni signorili;OTTIMO;P;11700;13700;L;39;45;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;13;Box;NORMALE;P;4700;6600;L;14;20,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;9;Magazzini;NORMALE;P;2550;3300;L;14;18;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;5;Negozi;OTTIMO;;14900;21200;L;79;120;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;5;Negozi;NORMALE;P;9400;12600;L;41,8;58,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;6;Uffici;OTTIMO;P;6500;8200;L;25,5;35,3;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;18;Uffici strutturati;OTTIMO;P;6700;9100;L;29;40;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;#N/D;10;Laboratori;NORMALE;P;2700;3300;L;15;20,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';20;Abitazioni civili;OTTIMO;;6800;7800;L;18,2;24,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';20;Abitazioni civili;NORMALE;P;4800;6400;L;15,5;17,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';21;Abitazioni di tipo economico;NORMALE;P;4100;5000;L;13;16;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';21;Abitazioni di tipo economico;OTTIMO;;5300;6400;L;17;19;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';19;Abitazioni signorili;OTTIMO;P;8000;9100;L;22,5;26,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';13;Box;NORMALE;P;3300;4500;L;11;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';9;Magazzini;NORMALE;P;1700;2300;L;10;13;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';5;Negozi;OTTIMO;;5300;7400;L;28;37,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';5;Negozi;NORMALE;P;3600;5200;L;19,2;27,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';6;Uffici;OTTIMO;P;4500;5000;L;19,5;24,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';18;Uffici strutturati;OTTIMO;P;4600;5800;L;20;28;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';10;Laboratori;NORMALE;P;2200;2600;L;12;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';20;Abitazioni civili;OTTIMO;;7900;9800;L;22,2;28,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';20;Abitazioni civili;NORMALE;P;6300;7900;L;18,5;21,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';21;Abitazioni di tipo economico;NORMALE;P;6000;6500;L;17;21;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';21;Abitazioni di tipo economico;OTTIMO;;6700;7900;L;20,5;24,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';19;Abitazioni signorili;OTTIMO;P;9800;11700;L;32;37,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';13;Box;NORMALE;P;3900;5000;L;12;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';9;Magazzini;NORMALE;P;1400;2000;L;7;10,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';5;Negozi;OTTIMO;;6400;8300;L;29;42;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';5;Negozi;NORMALE;P;4500;6300;L;21,5;29;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';6;Uffici;OTTIMO;P;3800;4400;L;16;21;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';18;Uffici strutturati;OTTIMO;P;4400;5300;L;21;23;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;'CENTRO STORICO - BRERA';10;Laboratori;NORMALE;P;2500;3000;L;12;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';20;Abitazioni civili;OTTIMO;;7400;8900;L;22,3;24,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';20;Abitazioni civili;NORMALE;P;6300;7300;L;19,5;22,3;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';21;Abitazioni di tipo economico;NORMALE;P;5600;6400;L;16;18,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';21;Abitazioni di tipo economico;OTTIMO;;6400;7500;L;19;22,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';19;Abitazioni signorili;OTTIMO;P;9000;10500;L;25;35;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';13;Box;NORMALE;P;3900;5000;L;12,5;16,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';9;Magazzini;NORMALE;P;1500;2100;L;10;13;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';5;Negozi;OTTIMO;;5400;7900;L;27,5;39;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';5;Negozi;NORMALE;P;4200;5300;L;19,2;27,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';6;Uffici;OTTIMO;P;3800;4500;L;15,8;20,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';18;Uffici strutturati;OTTIMO;P;4600;5500;L;20;23,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';10;Laboratori;NORMALE;P;2400;3000;L;12;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';20;Abitazioni civili;NORMALE;P;4000;5500;L;12,9;16,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';20;Abitazioni civili;OTTIMO;;5500;7600;L;17,6;23,7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';21;Abitazioni di tipo economico;OTTIMO;;3700;5000;L;12,5;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';21;Abitazioni di tipo economico;NORMALE;P;2950;3800;L;11;12,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';19;Abitazioni signorili;OTTIMO;P;7800;10800;L;25,8;27,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';13;Box;NORMALE;P;2400;3300;L;9;12,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';9;Magazzini;NORMALE;P;900;1200;L;4,8;6,6;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';5;Negozi;NORMALE;P;3500;4800;L;15;21,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';6;Uffici;OTTIMO;P;3500;4600;L;15;18,3;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';18;Uffici strutturati;OTTIMO;P;3900;5000;L;18,5;25,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';10;Laboratori;NORMALE;P;1500;1800;L;8;9,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';20;Abitazioni civili;OTTIMO;;6100;8400;L;21,2;24,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';20;Abitazioni civili;NORMALE;P;4500;6100;L;15,5;21;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';21;Abitazioni di tipo economico;NORMALE;;3600;4400;L;13;15;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';21;Abitazioni di tipo economico;OTTIMO;P;4400;5500;L;15,3;19,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';13;Box;NORMALE;P;2650;3700;L;8;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';9;Magazzini;NORMALE;P;1200;1500;L;6;7,3;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';5;Negozi;NORMALE;P;3800;5300;L;17;24;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';6;Uffici;OTTIMO;P;4200;5400;L;18,5;23;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';18;Uffici strutturati;OTTIMO;P;4100;5600;L;20,5;28;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B18;MI00004768;'TURATI, MOSCOVA, CORSO VENEZIA';10;Laboratori;NORMALE;P;1950;2350;L;10;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';20;Abitazioni civili;OTTIMO;;6400;7700;L;19;23,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';20;Abitazioni civili;NORMALE;P;4900;6300;L;15;18;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';21;Abitazioni di tipo economico;NORMALE;P;4600;5000;L;14,2;15,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';21;Abitazioni di tipo economico;OTTIMO;;5000;5900;L;15,2;18,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';19;Abitazioni signorili;OTTIMO;P;7500;9700;L;23,7;28,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';13;Box;NORMALE;P;3600;5100;L;12;17,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';9;Magazzini;NORMALE;P;1000;1300;L;5;7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';5;Negozi;OTTIMO;P;5100;7200;L;24,7;40,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';5;Negozi;NORMALE;;3700;5100;L;16;21,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';6;Uffici;OTTIMO;P;4500;5700;L;19;26;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';18;Uffici strutturati;OTTIMO;P;5300;6000;L;24,5;31;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B19;MI00004769;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';10;Laboratori;NORMALE;P;1600;2100;L;10;12,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';20;Abitazioni civili;OTTIMO;;5200;6700;L;18,7;23;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';20;Abitazioni civili;NORMALE;P;4500;5200;L;15;18,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';21;Abitazioni di tipo economico;NORMALE;P;3300;4200;L;12,2;13,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';21;Abitazioni di tipo economico;OTTIMO;;4200;5000;L;13,2;18;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';13;Box;NORMALE;P;2950;3800;L;13;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';9;Magazzini;NORMALE;P;700;1000;L;4;5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';5;Negozi;NORMALE;P;2850;3700;L;13,5;17,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';6;Uffici;OTTIMO;P;2550;3500;L;12;14,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';18;Uffici strutturati;OTTIMO;P;2750;3600;L;14;17,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B20;MI00004770;'PORTA VIGENTINA, PORTA ROMANA';10;Laboratori;NORMALE;P;1100;1800;L;5,8;9;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';20;Abitazioni civili;OTTIMO;;5100;6900;L;14,8;20,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';20;Abitazioni civili;NORMALE;P;4100;4900;L;12,3;14,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';21;Abitazioni di tipo economico;NORMALE;P;3200;3800;L;9,5;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';21;Abitazioni di tipo economico;OTTIMO;;3900;4600;L;12,7;13,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';13;Box;NORMALE;P;2100;2850;L;8,5;12;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';9;Magazzini;NORMALE;P;700;850;L;3,5;5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';5;Negozi;NORMALE;P;2750;3500;L;13,8;17,2;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';6;Uffici;OTTIMO;P;2950;3700;L;13,8;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';18;Uffici strutturati;OTTIMO;P;3300;4300;L;16;22;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B21;MI00004771;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';10;Laboratori;NORMALE;P;1250;1700;L;6,8;9;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';20;Abitazioni civili;OTTIMO;;5200;6100;L;17,5;19,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';20;Abitazioni civili;NORMALE;P;3700;5100;L;13;17;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';21;Abitazioni di tipo economico;OTTIMO;;3900;4800;L;11,5;16,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';21;Abitazioni di tipo economico;NORMALE;P;3000;3900;L;10;11,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';13;Box;NORMALE;P;2450;3500;L;10;13;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';9;Magazzini;NORMALE;P;750;1050;L;4,2;5,8;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';5;Negozi;OTTIMO;P;5800;8300;L;27;38;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';5;Negozi;NORMALE;;2200;3200;L;9,5;14;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';6;Uffici;OTTIMO;P;2900;3700;L;11;13,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';18;Uffici strutturati;OTTIMO;P;3400;4600;L;15,5;23;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;'PISANI, BUENOS AIRES, REGINA GIOVANNA';8;Capannoni industriali;NORMALE;P;900;1150;L;5;7;L
